Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
0.5	0	1	internal://	InInterests	0	0	0	0
0.5	0	1	internal://	OutInterests	0	0	0	0
0.5	0	1	internal://	InData	0	0	0	0
0.5	0	1	internal://	OutData	0	0	0	0
0.5	0	1	internal://	InNacks	0	0	0	0
0.5	0	1	internal://	OutNacks	0	0	0	0
0.5	0	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	0	1	internal://	InTimedOutInterests	0	0	0	0
0.5	0	1	internal://	OutSatisfiedInterests	8	0	5	0
0.5	0	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	0	2	internal://	InInterests	0	0	0	0
0.5	0	2	internal://	OutInterests	0	0	0	0
0.5	0	2	internal://	InData	0	0	0	0
0.5	0	2	internal://	OutData	0	0	0	0
0.5	0	2	internal://	InNacks	0	0	0	0
0.5	0	2	internal://	OutNacks	0	0	0	0
0.5	0	2	internal://	InSatisfiedInterests	4.8	0	3	0
0.5	0	2	internal://	InTimedOutInterests	0	0	0	0
0.5	0	2	internal://	OutSatisfiedInterests	0	0	0	0
0.5	0	2	internal://	OutTimedOutInterests	0	0	0	0
0.5	0	256	internal://	InInterests	0	0	0	0
0.5	0	256	internal://	OutInterests	0	0	0	0
0.5	0	256	internal://	InData	0	0	0	0
0.5	0	256	internal://	OutData	0	0	0	0
0.5	0	256	internal://	InNacks	0	0	0	0
0.5	0	256	internal://	OutNacks	0	0	0	0
0.5	0	256	internal://	InSatisfiedInterests	3.2	0	2	0
0.5	0	256	internal://	InTimedOutInterests	0	0	0	0
0.5	0	256	internal://	OutSatisfiedInterests	0	0	0	0
0.5	0	256	internal://	OutTimedOutInterests	0	0	0	0
0.5	0	-1	all	SatisfiedInterests	8	0	5	0
0.5	0	-1	all	TimedOutInterests	0	0	0	0
0.5	1	1	internal://	InInterests	0	0	0	0
0.5	1	1	internal://	OutInterests	0	0	0	0
0.5	1	1	internal://	InData	0	0	0	0
0.5	1	1	internal://	OutData	0	0	0	0
0.5	1	1	internal://	InNacks	0	0	0	0
0.5	1	1	internal://	OutNacks	0	0	0	0
0.5	1	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	1	1	internal://	InTimedOutInterests	0	0	0	0
0.5	1	1	internal://	OutSatisfiedInterests	8	0	5	0
0.5	1	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	1	2	internal://	InInterests	0	0	0	0
0.5	1	2	internal://	OutInterests	0	0	0	0
0.5	1	2	internal://	InData	0	0	0	0
0.5	1	2	internal://	OutData	0	0	0	0
0.5	1	2	internal://	InNacks	0	0	0	0
0.5	1	2	internal://	OutNacks	0	0	0	0
0.5	1	2	internal://	InSatisfiedInterests	4.8	0	3	0
0.5	1	2	internal://	InTimedOutInterests	0	0	0	0
0.5	1	2	internal://	OutSatisfiedInterests	0	0	0	0
0.5	1	2	internal://	OutTimedOutInterests	0	0	0	0
0.5	1	256	internal://	InInterests	0	0	0	0
0.5	1	256	internal://	OutInterests	0	0	0	0
0.5	1	256	internal://	InData	0	0	0	0
0.5	1	256	internal://	OutData	0	0	0	0
0.5	1	256	internal://	InNacks	0	0	0	0
0.5	1	256	internal://	OutNacks	0	0	0	0
0.5	1	256	internal://	InSatisfiedInterests	3.2	0	2	0
0.5	1	256	internal://	InTimedOutInterests	0	0	0	0
0.5	1	256	internal://	OutSatisfiedInterests	0	0	0	0
0.5	1	256	internal://	OutTimedOutInterests	0	0	0	0
0.5	1	-1	all	SatisfiedInterests	8	0	5	0
0.5	1	-1	all	TimedOutInterests	0	0	0	0
1	0	1	internal://	InInterests	0	0	0	0
1	0	1	internal://	OutInterests	0	0	0	0
1	0	1	internal://	InData	0	0	0	0
1	0	1	internal://	OutData	0	0	0	0
1	0	1	internal://	InNacks	0	0	0	0
1	0	1	internal://	OutNacks	0	0	0	0
1	0	1	internal://	InSatisfiedInterests	0	0	0	0
1	0	1	internal://	InTimedOutInterests	0	0	0	0
1	0	1	internal://	OutSatisfiedInterests	1.6	0	0	0
1	0	1	internal://	OutTimedOutInterests	0	0	0	0
1	0	2	internal://	InInterests	0	0	0	0
1	0	2	internal://	OutInterests	0	0	0	0
1	0	2	internal://	InData	0	0	0	0
1	0	2	internal://	OutData	0	0	0	0
1	0	2	internal://	InNacks	0	0	0	0
1	0	2	internal://	OutNacks	0	0	0	0
1	0	2	internal://	InSatisfiedInterests	0.96	0	0	0
1	0	2	internal://	InTimedOutInterests	0	0	0	0
1	0	2	internal://	OutSatisfiedInterests	0	0	0	0
1	0	2	internal://	OutTimedOutInterests	0	0	0	0
1	0	256	internal://	InInterests	0	0	0	0
1	0	256	internal://	OutInterests	0	0	0	0
1	0	256	internal://	InData	0	0	0	0
1	0	256	internal://	OutData	0	0	0	0
1	0	256	internal://	InNacks	0	0	0	0
1	0	256	internal://	OutNacks	0	0	0	0
1	0	256	internal://	InSatisfiedInterests	0.64	0	0	0
1	0	256	internal://	InTimedOutInterests	0	0	0	0
1	0	256	internal://	OutSatisfiedInterests	0	0	0	0
1	0	256	internal://	OutTimedOutInterests	0	0	0	0
1	0	-1	all	SatisfiedInterests	1.6	0	0	0
1	0	-1	all	TimedOutInterests	0	0	0	0
1	1	1	internal://	InInterests	0	0	0	0
1	1	1	internal://	OutInterests	0	0	0	0
1	1	1	internal://	InData	0	0	0	0
1	1	1	internal://	OutData	0	0	0	0
1	1	1	internal://	InNacks	0	0	0	0
1	1	1	internal://	OutNacks	0	0	0	0
1	1	1	internal://	InSatisfiedInterests	0	0	0	0
1	1	1	internal://	InTimedOutInterests	0	0	0	0
1	1	1	internal://	OutSatisfiedInterests	1.6	0	0	0
1	1	1	internal://	OutTimedOutInterests	0	0	0	0
1	1	2	internal://	InInterests	0	0	0	0
1	1	2	internal://	OutInterests	0	0	0	0
1	1	2	internal://	InData	0	0	0	0
1	1	2	internal://	OutData	0	0	0	0
1	1	2	internal://	InNacks	0	0	0	0
1	1	2	internal://	OutNacks	0	0	0	0
1	1	2	internal://	InSatisfiedInterests	0.96	0	0	0
1	1	2	internal://	InTimedOutInterests	0	0	0	0
1	1	2	internal://	OutSatisfiedInterests	0	0	0	0
1	1	2	internal://	OutTimedOutInterests	0	0	0	0
1	1	256	internal://	InInterests	0	0	0	0
1	1	256	internal://	OutInterests	0	0	0	0
1	1	256	internal://	InData	0	0	0	0
1	1	256	internal://	OutData	0	0	0	0
1	1	256	internal://	InNacks	0	0	0	0
1	1	256	internal://	OutNacks	0	0	0	0
1	1	256	internal://	InSatisfiedInterests	0.64	0	0	0
1	1	256	internal://	InTimedOutInterests	0	0	0	0
1	1	256	internal://	OutSatisfiedInterests	0	0	0	0
1	1	256	internal://	OutTimedOutInterests	0	0	0	0
1	1	-1	all	SatisfiedInterests	1.6	0	0	0
1	1	-1	all	TimedOutInterests	0	0	0	0
1.5	0	1	internal://	InInterests	0	0	0	0
1.5	0	1	internal://	OutInterests	0	0	0	0
1.5	0	1	internal://	InData	0	0	0	0
1.5	0	1	internal://	OutData	0	0	0	0
1.5	0	1	internal://	InNacks	0	0	0	0
1.5	0	1	internal://	OutNacks	0	0	0	0
1.5	0	1	internal://	InSatisfiedInterests	0	0	0	0
1.5	0	1	internal://	InTimedOutInterests	0	0	0	0
1.5	0	1	internal://	OutSatisfiedInterests	1.92	0	1	0
1.5	0	1	internal://	OutTimedOutInterests	0	0	0	0
1.5	0	2	internal://	InInterests	0	0	0	0
1.5	0	2	internal://	OutInterests	0	0	0	0
1.5	0	2	internal://	InData	0	0	0	0
1.5	0	2	internal://	OutData	0	0	0	0
1.5	0	2	internal://	InNacks	0	0	0	0
1.5	0	2	internal://	OutNacks	0	0	0	0
1.5	0	2	internal://	InSatisfiedInterests	0.192	0	0	0
1.5	0	2	internal://	InTimedOutInterests	0	0	0	0
1.5	0	2	internal://	OutSatisfiedInterests	0	0	0	0
1.5	0	2	internal://	OutTimedOutInterests	0	0	0	0
1.5	0	256	internal://	InInterests	0	0	0	0
1.5	0	256	internal://	OutInterests	0	0	0	0
1.5	0	256	internal://	InData	0	0	0	0
1.5	0	256	internal://	OutData	0	0	0	0
1.5	0	256	internal://	InNacks	0	0	0	0
1.5	0	256	internal://	OutNacks	0	0	0	0
1.5	0	256	internal://	InSatisfiedInterests	1.728	0	1	0
1.5	0	256	internal://	InTimedOutInterests	0	0	0	0
1.5	0	256	internal://	OutSatisfiedInterests	0	0	0	0
1.5	0	256	internal://	OutTimedOutInterests	0	0	0	0
