Time	Node	Type	Packets	
0.5	0	CacheHits	0
0.5	0	CacheMisses	0
0.5	1	CacheHits	0
0.5	1	CacheMisses	0
0.5	2	CacheHits	0
0.5	2	CacheMisses	0
0.5	3	CacheHits	0
0.5	3	CacheMisses	0
0.5	4	CacheHits	0
0.5	4	CacheMisses	0
0.5	5	CacheHits	0
0.5	5	CacheMisses	0
0.5	6	CacheHits	0
0.5	6	CacheMisses	0
1	0	CacheHits	0
1	0	CacheMisses	0
1	1	CacheHits	0
1	1	CacheMisses	0
1	2	CacheHits	0
1	2	CacheMisses	0
1	3	CacheHits	0
1	3	CacheMisses	0
1	4	CacheHits	0
1	4	CacheMisses	0
1	5	CacheHits	0
1	5	CacheMisses	0
1	6	CacheHits	0
1	6	CacheMisses	0
1.5	0	CacheHits	0
1.5	0	CacheMisses	0
1.5	1	CacheHits	0
1.5	1	CacheMisses	0
1.5	2	CacheHits	0
1.5	2	CacheMisses	0
1.5	3	CacheHits	0
1.5	3	CacheMisses	0
1.5	4	CacheHits	0
1.5	4	CacheMisses	0
1.5	5	CacheHits	0
1.5	5	CacheMisses	0
1.5	6	CacheHits	0
1.5	6	CacheMisses	0
2	0	CacheHits	0
2	0	CacheMisses	0
2	1	CacheHits	0
2	1	CacheMisses	0
2	2	CacheHits	0
2	2	CacheMisses	0
2	3	CacheHits	0
2	3	CacheMisses	0
2	4	CacheHits	0
2	4	CacheMisses	0
2	5	CacheHits	0
2	5	CacheMisses	0
2	6	CacheHits	0
2	6	CacheMisses	0
2.5	0	CacheHits	0
2.5	0	CacheMisses	0
2.5	1	CacheHits	0
2.5	1	CacheMisses	0
2.5	2	CacheHits	0
2.5	2	CacheMisses	0
2.5	3	CacheHits	0
2.5	3	CacheMisses	0
2.5	4	CacheHits	0
2.5	4	CacheMisses	0
2.5	5	CacheHits	0
2.5	5	CacheMisses	0
2.5	6	CacheHits	0
2.5	6	CacheMisses	0
3	0	CacheHits	0
3	0	CacheMisses	0
3	1	CacheHits	0
3	1	CacheMisses	0
3	2	CacheHits	0
3	2	CacheMisses	0
3	3	CacheHits	0
3	3	CacheMisses	0
3	4	CacheHits	0
3	4	CacheMisses	0
3	5	CacheHits	0
3	5	CacheMisses	0
3	6	CacheHits	0
3	6	CacheMisses	0
3.5	0	CacheHits	0
3.5	0	CacheMisses	0
3.5	1	CacheHits	0
3.5	1	CacheMisses	0
3.5	2	CacheHits	0
3.5	2	CacheMisses	0
3.5	3	CacheHits	0
3.5	3	CacheMisses	0
3.5	4	CacheHits	0
3.5	4	CacheMisses	0
3.5	5	CacheHits	0
3.5	5	CacheMisses	0
3.5	6	CacheHits	0
3.5	6	CacheMisses	0
4	0	CacheHits	0
4	0	CacheMisses	0
4	1	CacheHits	0
4	1	CacheMisses	0
4	2	CacheHits	0
4	2	CacheMisses	0
4	3	CacheHits	0
4	3	CacheMisses	0
4	4	CacheHits	0
4	4	CacheMisses	0
4	5	CacheHits	0
4	5	CacheMisses	0
4	6	CacheHits	0
4	6	CacheMisses	0
4.5	0	CacheHits	0
4.5	0	CacheMisses	0
4.5	1	CacheHits	0
4.5	1	CacheMisses	0
4.5	2	CacheHits	0
4.5	2	CacheMisses	0
4.5	3	CacheHits	0
4.5	3	CacheMisses	0
4.5	4	CacheHits	0
4.5	4	CacheMisses	0
4.5	5	CacheHits	0
4.5	5	CacheMisses	0
4.5	6	CacheHits	0
4.5	6	CacheMisses	0
