Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
0.1	0	1	internal://	InInterests	0	0	0	0
0.1	0	1	internal://	OutInterests	0	0	0	0
0.1	0	1	internal://	InData	0	0	0	0
0.1	0	1	internal://	OutData	0	0	0	0
0.1	0	1	internal://	InNacks	0	0	0	0
0.1	0	1	internal://	OutNacks	0	0	0	0
0.1	0	1	internal://	InSatisfiedInterests	0	0	0	0
0.1	0	1	internal://	InTimedOutInterests	0	0	0	0
0.1	0	1	internal://	OutSatisfiedInterests	48	0	6	0
0.1	0	1	internal://	OutTimedOutInterests	0	0	0	0
0.1	0	2	internal://	InInterests	0	0	0	0
0.1	0	2	internal://	OutInterests	0	0	0	0
0.1	0	2	internal://	InData	0	0	0	0
0.1	0	2	internal://	OutData	0	0	0	0
0.1	0	2	internal://	InNacks	0	0	0	0
0.1	0	2	internal://	OutNacks	0	0	0	0
0.1	0	2	internal://	InSatisfiedInterests	40	0	5	0
0.1	0	2	internal://	InTimedOutInterests	0	0	0	0
0.1	0	2	internal://	OutSatisfiedInterests	0	0	0	0
0.1	0	2	internal://	OutTimedOutInterests	0	0	0	0
0.1	0	256	internal://	InInterests	0	0	0	0
0.1	0	256	internal://	OutInterests	0	0	0	0
0.1	0	256	internal://	InData	0	0	0	0
0.1	0	256	internal://	OutData	0	0	0	0
0.1	0	256	internal://	InNacks	0	0	0	0
0.1	0	256	internal://	OutNacks	0	0	0	0
0.1	0	256	internal://	InSatisfiedInterests	8	0	1	0
0.1	0	256	internal://	InTimedOutInterests	0	0	0	0
0.1	0	256	internal://	OutSatisfiedInterests	0	0	0	0
0.1	0	256	internal://	OutTimedOutInterests	0	0	0	0
0.1	0	-1	all	SatisfiedInterests	48	0	6	0
0.1	0	-1	all	TimedOutInterests	0	0	0	0
0.1	1	1	internal://	InInterests	0	0	0	0
0.1	1	1	internal://	OutInterests	0	0	0	0
0.1	1	1	internal://	InData	0	0	0	0
0.1	1	1	internal://	OutData	0	0	0	0
0.1	1	1	internal://	InNacks	0	0	0	0
0.1	1	1	internal://	OutNacks	0	0	0	0
0.1	1	1	internal://	InSatisfiedInterests	0	0	0	0
0.1	1	1	internal://	InTimedOutInterests	0	0	0	0
0.1	1	1	internal://	OutSatisfiedInterests	48	0	6	0
0.1	1	1	internal://	OutTimedOutInterests	0	0	0	0
0.1	1	2	internal://	InInterests	0	0	0	0
0.1	1	2	internal://	OutInterests	0	0	0	0
0.1	1	2	internal://	InData	0	0	0	0
0.1	1	2	internal://	OutData	0	0	0	0
0.1	1	2	internal://	InNacks	0	0	0	0
0.1	1	2	internal://	OutNacks	0	0	0	0
0.1	1	2	internal://	InSatisfiedInterests	40	0	5	0
0.1	1	2	internal://	InTimedOutInterests	0	0	0	0
0.1	1	2	internal://	OutSatisfiedInterests	0	0	0	0
0.1	1	2	internal://	OutTimedOutInterests	0	0	0	0
0.1	1	256	internal://	InInterests	0	0	0	0
0.1	1	256	internal://	OutInterests	0	0	0	0
0.1	1	256	internal://	InData	0	0	0	0
0.1	1	256	internal://	OutData	0	0	0	0
0.1	1	256	internal://	InNacks	0	0	0	0
0.1	1	256	internal://	OutNacks	0	0	0	0
0.1	1	256	internal://	InSatisfiedInterests	8	0	1	0
0.1	1	256	internal://	InTimedOutInterests	0	0	0	0
0.1	1	256	internal://	OutSatisfiedInterests	0	0	0	0
0.1	1	256	internal://	OutTimedOutInterests	0	0	0	0
0.1	1	-1	all	SatisfiedInterests	48	0	6	0
0.1	1	-1	all	TimedOutInterests	0	0	0	0
0.1	2	1	internal://	InInterests	0	0	0	0
0.1	2	1	internal://	OutInterests	0	0	0	0
0.1	2	1	internal://	InData	0	0	0	0
0.1	2	1	internal://	OutData	0	0	0	0
0.1	2	1	internal://	InNacks	0	0	0	0
0.1	2	1	internal://	OutNacks	0	0	0	0
0.1	2	1	internal://	InSatisfiedInterests	0	0	0	0
0.1	2	1	internal://	InTimedOutInterests	0	0	0	0
0.1	2	1	internal://	OutSatisfiedInterests	64	0	8	0
0.1	2	1	internal://	OutTimedOutInterests	0	0	0	0
0.1	2	2	internal://	InInterests	0	0	0	0
0.1	2	2	internal://	OutInterests	0	0	0	0
0.1	2	2	internal://	InData	0	0	0	0
0.1	2	2	internal://	OutData	0	0	0	0
0.1	2	2	internal://	InNacks	0	0	0	0
0.1	2	2	internal://	OutNacks	0	0	0	0
0.1	2	2	internal://	InSatisfiedInterests	48	0	6	0
0.1	2	2	internal://	InTimedOutInterests	0	0	0	0
0.1	2	2	internal://	OutSatisfiedInterests	0	0	0	0
0.1	2	2	internal://	OutTimedOutInterests	0	0	0	0
0.1	2	256	internal://	InInterests	0	0	0	0
0.1	2	256	internal://	OutInterests	0	0	0	0
0.1	2	256	internal://	InData	0	0	0	0
